0,BrighamYoung,Mountain West 
1,FloridaState,Atlantic Coast 
2,Iowa,Big Ten 
3,KansasState,Big Twelve 
4,NewMexico,Mountain West 
5,TexasTech,Big Twelve 
6,PennState,Big Ten 
7,SouthernCalifornia,Pacific Ten 
8,ArizonaState,Pacific Ten 
9,SanDiegoState,Mountain West 
10,Baylor,Big Twelve 
11,NorthTexas,Sun Belt 
12,NorthernIllinois,Mid-American 
13,Northwestern,Big Ten 
14,WesternMichigan,Mid-American 
15,Wisconsin,Big Ten 
16,Wyoming,Mountain West 
17,Auburn,Southeastern 
18,Akron,Mid-American 
19,VirginiaTech,Big East 
20,Alabama,Southeastern 
21,UCLA,Pacific Ten 
22,Arizona,Pacific Ten 
23,Utah,Mountain West 
24,ArkansasState,Sun Belt 
25,NorthCarolinaState,Atlantic Coast 
26,BallState,Mid-American 
27,Florida,Southeastern 
28,BoiseState,Western Athletic 
29,BostonCollege,Big East 
30,WestVirginia,Big East 
31,BowlingGreenState,Mid-American 
32,Michigan,Big Ten 
33,Virginia,Atlantic Coast 
34,Buffalo,Mid-American 
35,Syracuse,Big East 
36,CentralFlorida,Independents 
37,GeorgiaTech,Atlantic Coast 
38,CentralMichigan,Mid-American 
39,Purdue,Big Ten 
40,Colorado,Big Twelve 
41,ColoradoState,Mountain West 
42,Connecticut,Independents 
43,EasternMichigan,Mid-American 
44,EastCarolina,Conference USA 
45,Duke,Atlantic Coast 
46,FresnoState,Western Athletic 
47,OhioState,Big Ten 
48,Houston,Conference USA 
49,Rice,Western Athletic 
50,Idaho,Sun Belt 
51,Washington,Pacific Ten 
52,Kansas,Big Twelve 
53,SouthernMethodist,Western Athletic 
54,Kent,Mid-American 
55,Pittsburgh,Big East 
56,Kentucky,Southeastern 
57,Louisville,Conference USA 
58,LouisianaTech,Western Athletic 
59,LouisianaMonroe,Sun Belt 
60,Minnesota,Big Ten 
61,MiamiOhio,Mid-American 
62,Vanderbilt,Southeastern 
63,MiddleTennesseeState,Sun Belt 
64,Illinois,Big Ten 
65,MississippiState,Southeastern 
66,Memphis,Conference USA 
67,Nevada,Western Athletic 
68,Oregon,Pacific Ten 
69,NewMexicoState,Sun Belt 
70,SouthCarolina,Southeastern 
71,Ohio,Mid-American 
72,IowaState,Big Twelve 
73,SanJoseState,Western Athletic 
74,Nebraska,Big Twelve 
75,SouthernMississippi,Conference USA 
76,Tennessee,Southeastern 
77,Stanford,Pacific Ten 
78,WashingtonState,Pacific Ten 
79,Temple,Big East 
80,Navy,Independents 
81,TexasA&M,Big Twelve 
82,NotreDame,Independents 
83,TexasElPaso,Western Athletic 
84,Oklahoma,Big Twelve 
85,Toledo,Mid-American 
86,Tulane,Conference USA 
87,Mississippi,Southeastern 
88,Tulsa,Western Athletic 
89,NorthCarolina,Atlantic Coast 
90,UtahState,Independents 
91,Army,Conference USA 
92,Cincinnati,Conference USA 
93,AirForce,Mountain West 
94,Rutgers,Big East 
95,Georgia,Southeastern 
96,LouisianaState,Southeastern 
97,LouisianaLafayette,Sun Belt 
98,Texas,Big Twelve 
99,Marshall,Mid-American 
100,MichiganState,Big Ten 
101,MiamiFlorida,Big East 
102,Missouri,Big Twelve 
103,Clemson,Atlantic Coast 
104,NevadaLasVegas,Mountain West 
105,WakeForest,Atlantic Coast 
106,Indiana,Big Ten 
107,OklahomaState,Big Twelve 
108,OregonState,Pacific Ten 
109,Maryland,Atlantic Coast 
110,TexasChristian,Conference USA 
111,California,Pacific Ten 
112,AlabamaBirmingham,Conference USA 
113,Arkansas,Southeastern 
114,Hawaii,Western Athletic 
